,会社名,タイトル名,項目C
79,株式会社クリエ | 教育、人材サービス、コンサルなどの総合的な福祉事業を展開,スクール運営の【総合職（事務）】未経験歓迎/残業少なめ 正社員,
80,サンメトロ輸送株式会社 | トヨタグループ100％出資／週休2日制,【在庫管理】★正社員登用あり ★残業ほぼなし ★未経験者歓迎 契約社員,
81,アートコーポレーション株式会社 | 【大阪府緊急雇用対策に賛同】有名企業で事務デビュー！,女性活躍中♪未経験者OK！【事務スタッフ】※残業ほぼなし 正社員,
82,株式会社イースリー | 売上4.5億円突破の成長型ベンチャー◇バックオフィス経験者歓迎,【業務アシスタント】月給30万円/年休130日以上/ブランクOK 正社員,
83,株式会社トラスト | 仕事もプライベートも充実できる♪【20代～30代が活躍中】,年間休み121日以上＆安定成長企業！【事務】※名古屋募集 正社員,
84,九州スズキ販売株式会社 | 来年創業70周年！＼久留米と飯塚の2拠点で同時募集／ ★未経験OK,休日多め×残業ほぼゼロ＝長く活躍できる【管理事務】★転勤なし 正社員,
85,医療法人優光会 | スキルUPは会社負担で／育児中のスタッフも在籍／年休120日以上,未経験でも安心して働ける【医療事務】20~30代活躍中！ 正社員,
86,エスエス産業株式会社 | 創立51年の老舗商社／創業以来増収及び赤字なしの安定基盤,【事務系総合職】女性社員が活躍中★安心の環境で高い定着率★ 正社員,
87,中部薬品株式会社 | 【 東証1部上場バローグループ 】残業月10.5時間／年間休日118日,★未経験OK★資格なしで始める【 調剤事務 】◆25歳までの方(※) 正社員,
88,株式会社ミューパック・オザキ | 自社ブランドでも成長/産育休制度あり/大阪府緊急雇用対策に賛同,パッケージメーカーの【事務スタッフ】＊有給100％消化もOK♪ 正社員,
89,株式会社JETLINK | 【年齢不問】20代～50代まで幅広い年齢層が活躍中の職場です♪,事務未経験・パソコン初めての方も大歓迎！【営業事務】 正社員,
90,株式会社タウン管理サービス | 賃貸管理に特化した不動産管理会社｜★貴方らしく働くをサポート,【事務職】＊有給取得推奨＆連休OK＊安定経営が自慢です！ 正社員,
91,株式会社ケイズテック西日本 | ショッピングカートなどで高いシェアを誇るメーカー★正社員採用,未経験歓迎【一般事務】★完全週休二日（土日祝）＆残業なし 正社員,
92,株式会社システムポート | ★顧客は100％社会福祉法人　★繁忙期以外は、ほぼ定時退社です,【営業アシスタント（ソフトの使い方レクチャー、伝票入力等）】 正社員,
93,大和リビング株式会社 | 【大和ハウスグループ】完全週休二日（水日祝）,大和ハウスグループの【営業事務】転勤なし＆福山勤務/年休123日 正社員,
94,特定非営利活動法人臨床試験推進機構 | 臨床研究やセミナー運営をサポート！／原則契約更新,医療に貢献する【事務局・データセンタースタッフ】未経験歓迎 契約社員,
95,株式会社コスモ | ［東京限定採用］モロッカンオイルやクレイツなど扱う企業です♪,☆業界トップクラスの企業で活躍【事務】美容商材の社割あり 正社員,
96,"ハート株式会社 | 札幌から福岡まで全国23支店を展開／グループ合計1,000名以上",大手安定企業の支店を縁の下から支える【経理・総務】★未経験OK 正社員,
97,有限会社まつだ寝具店 | 【包む幸せ、包まれる幸せ】楽天市場<SHOP OF THE AREA2020受賞>,心の楽しさを大切に仕事しませんか？【事務スタッフ】未経験OK♪ 正社員,
98,株式会社中之島企画 | 年休120日／子育て中のママさんも活躍中／福島駅より徒歩スグ！,未経験から始められる【事務スタッフ】完全週休2日・定時退社OK 正社員,
99,株式会社清水商店 | 創業より113年安定経営を続ける老舗！月収25万円スタートも可能,原則日水祝しっかり休める【食品加工スタッフ】★20～30代活躍中 正社員,
100,株式会社ヤマダ | ◎創業1902年の歴史を持つメーカー企業◎丸亀うちわ,未経験歓迎◎うちわ・カレンダーメーカーの【一般事務スタッフ】 正社員,
101,株式会社エコ・クルー | 有給消化は完全フリーパス！事前申請で、希望の日にお休み可能♪,★女性活躍中★【一般事務】《定時帰り／有休も自由に取得可》 正社員,
102,富士機工株式会社 | 【FUJI AUTO SPARES LTD.】残業月1h程度／最寄り駅まで送迎あり,キャリアアップも応援！【事務スタッフ】未経験OK・残業ほぼなし 正社員,
103,アスタッフ株式会社 | ☆月8日休み ☆賞与年2回＋業績によるインセンティブあり,女性スタッフ活躍中♪初めてのオフィスワークもOK！【経理事務】 正社員,
104,株式会社もとゆき | 産育休の復帰実績有！社宅制度、ランチ代支給など福利厚生も充実,【一般事務・受付】事務職デビュー歓迎／賞年2回／残業ほぼなし 正社員,
105,淺間保全工業株式会社 | ★創業45年★有休消化率100％★ブランクOK！,景気に左右されない安定企業の【事務職】★有休消化率◎ 正社員,
106,株式会社サンキュー | オンオフのメリハリつけて働ける★産休育休実績あり！ブランクOK,☆転勤なし＆未経験スタートOK♪【一般事務スタッフ】 正社員,
107,株式会社尚和包装工業 | 創業68年！梱包のスペシャリスト　★年間休日120日以上,【一般事務スタッフ】◎原則定時退社／完全週休2日制 正社員,
108,株式会社ヒロコーポレーション | タイル・石材などの建材メーカー,未経験OKの【営業事務】※完全週休2日制／昇給スピードも◎ 正社員,
109,TBK株式会社 | 従業員ファーストを徹底／ネイル・ピアス・服装自由★,未経験歓迎【事務スタッフ】土日完全休／転勤なし埼玉・朝霞勤務 正社員,
110,医療法人社団晴博会 | あんこうメディカルクリニック,経験を活かせる【医療事務】★年間休日130日以上！残業ほぼなし 正社員,
111,賃貸スマイル株式会社 | 【地域密着の総合不動産】＊今年、新たに2店舗OPENの成長企業,【宅建事務】資格を活かせる♪完休2日/残業ほぼなし/月給25万円~ 正社員,
112,株式会社ミドリヤ | ★設立57年！地域密着の総合建設会社★賞与年2回/転勤なし,未経験からデビューできる【事務系総合職】★週休2日/残業少なめ 正社員,
113,医療法人社団一成会 | たちばな台病院/稀少求人のためお早めにご応募ください！,年齢不問の経験者募集【総務】残業時間月20時間以内★未経験歓迎 正社員,
114,生和コーポレーション株式会社 | 【大阪府緊急雇用対策に賛同】松岡修造さん起用のCMも放送中,【受付・事務】*★第二新卒歓迎！20～30代女性活躍中★* 正社員,
115,株式会社マスハラ建設 | 完全定時退社/未経験歓迎/年間休日120日以上,【CAD】転勤なし/完全週休2日制など働きやすい環境も充実！ 正社員,
116,株式会社Right Armサービス | 希望日あればお休みOK！家族との時間を優先できる♪,未経験から始められる【事務スタッフ】完全週休2日・残業少なめ 正社員,
117,医療法人社団協友会 | 【吉川中央総合病院】交通費月10万円まで。遠方からの応募歓迎！,年休120日＆有休消化率71%【医療事務】★キャリアUPが目指せる！ 契約社員,
118,大有コンクリート工業株式会社 | 創業90年以上。コンクリート製品を通してインフラを支えています,コンクリート製品の【営業】★土日祝休み ★福利厚生充実 正社員,
